t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns,observer_error_deg,observer_error_age
1.1692156999997678,0.0,1200,26.6,-51.1,6.78,0.13,-4.85,4.71,0.027,630,25.2,0,310.407712,1.1699994502123445e-05,632.8311971767179,2.894165066666666,125.67247,0.00047309999354183674
1.1956190999990213,0.0,1200,26.6,-51.3,6.76,0.13,-4.8,4.71,0.028,648,25.2,0,5.053711,1.2100004823878407e-05,651.289230616114,3.0459595083333326,44.92486,0.0004321000014897436
1.22188019999885,0.0,1200,26.6,-51.5,6.7,0.13,-4.68,4.78,0.029,663,25.2,0,60.161132,1.4900004316587001e-05,668.3167473669587,3.199035677777777,-119.16681,0.00027520000003278255
1.2479220000022906,0.0,1200,26.6,-51.4,6.8,0.13,-4.71,4.84,0.029,681,25.2,0,116.125488,1.410000550094992e-05,683.0278049697042,3.3544922222222215,155.58299,0.0003997000021627173
1.274152600002708,0.0,1200,26.6,-51.4,6.83,0.13,-4.79,4.81,0.029,698,25.2,0,174.045408,1.2700002116616815e-05,701.3339099410426,3.5153808888888882,59.55838,0.0004600000029313378
1.3003499000042211,0.0,1200,26.6,-51.3,6.72,0.13,-4.74,4.76,0.029,714,25.2,0,232.7124,1.1399999493733048e-05,717.5952240408446,3.678344755555555,-89.62404,0.000542200003110338
1.3265506000025198,0.0,1200,26.6,-51.1,6.83,0.13,-4.78,4.82,0.029,731,25.2,0,293.378912,1.7099999240599573e-05,734.0839557538513,3.846862844444444,153.5714,0.0004941000006510876
1.3527799000003142,0.0,1200,26.6,-51.1,6.85,0.13,-4.85,4.78,0.029,747,25.2,0,355.341792,1.2299999070819467e-05,751.6271298025487,4.018981955555555,47.96188,0.00040270000317832455
1.3792609000010998,0.0,1200,26.6,-51.4,6.78,0.13,-4.83,4.76,0.029,763,25.2,0,58.381348,3.550000110408291e-05,767.3492070299023,4.194091833333332,-139.28708,0.00029790000553475693
1.4056963000039104,0.0,1200,26.6,-51.4,6.86,0.13,-4.88,4.82,0.028,780,25.2,0,123.39844,1.2500000593718141e-05,783.9001685660197,4.374694866666665,133.78352,0.00044239999988349155
1.4318847000031383,0.0,1200,26.6,-51.4,6.93,0.14,-4.91,4.84,0.027,798,25.2,0,189.338384,1.7400001524947584e-05,802.4542643875009,4.557861377777776,46.5802,0.0003116000007139519
1.4583812999990187,0.0,1200,26.6,-51.1,6.86,0.13,-4.73,4.92,0.028,813,25.2,0,256.706544,1.8600003386382014e-05,817.5554122860646,4.744995155555554,-170.3229,0.0004549000004772097
1.484991600002104,0.0,1200,26.6,-51.1,6.87,0.14,-4.83,4.84,0.029,830,25.2,0,325.700672,3.51999988197349e-05,833.198728747489,4.936645511111109,122.45428,0.00046660000225529075
1.5122790000023087,0.0,1200,26.6,-51.3,6.94,0.14,-4.96,4.81,0.028,848,25.2,0,38.518068,1.5900004655122757e-05,852.110355067168,5.138916055555554,-55.98611,0.00027540000155568123
1.5384903000012855,0.0,1200,26.6,-51.4,6.92,0.14,-4.75,5.0,0.03,864,25.2,0,109.270016,1.2500000593718141e-05,868.1966558145348,5.335449244444443,126.76202,0.00016709999908925965
1.565238600000157,0.0,1200,26.6,-51.4,6.93,0.14,-5.01,4.76,0.028,882,25.2,0,182.922368,1.2999997125007212e-05,883.7692867680953,5.54003911111111,60.85403,0.0005500999977812171
1.591680700003053,0.0,1200,26.6,-51.2,6.91,0.13,-4.79,4.96,0.029,897,25.2,0,257.255856,1.219999830937013e-05,901.5141415716336,5.746521022222221,-165.67963,0.00010889999975915998
1.6181053000036627,0.0,1200,26.6,-51.1,6.91,0.14,-4.94,4.79,0.028,915,25.2,0,332.841792,1.309999788645655e-05,919.0661971546749,5.956481955555554,95.37076,0.00027859999681822956
1.6447274000020116,0.0,1200,26.6,-51.4,6.95,0.14,-4.79,4.96,0.029,932,25.2,0,50.317384,1.2399999832268804e-05,935.6746785540291,6.1716919333333315,-57.46403,0.00044379999599186704
1.6709852999993018,0.0,1200,26.6,-51.3,6.93,0.14,-4.98,4.83,0.028,948,25.2,0,128.18848,1.1000003723893315e-05,953.2662280603739,6.388000533333331,129.79575,0.00038080000376794487
1.6973345000005793,0.0,1200,26.6,-51.4,6.94,0.14,-4.83,4.91,0.029,967,25.2,0,207.246096,3.650000144261867e-05,970.0940905642195,6.60760502222222,52.12204,0.0005036000002291985
1.7237813000028837,0.0,1200,26.6,-51.1,6.88,0.14,-4.84,4.97,0.029,982,25.2,0,288.676768,1.2299999070819467e-05,987.6764349043931,6.833801333333331,166.17061,0.00031370000215247273
1.7498803000053158,0.0,1200,26.6,-51.2,6.98,0.14,-5.04,4.8,0.027,999,25.2,0,10.107422,1.3299999409355223e-05,1004.9752984319325,7.059997594444442,39.7549,0.0003505000058794394
1.776138400004129,0.0,1200,26.6,-51.4,6.82,0.14,-4.85,4.92,0.028,1015,25.2,0,92.658688,1.290000363951549e-05,1020.5758317977693,7.289306666666665,-150.20564,0.00027740000223275274
1.8027347000024747,0.0,1200,26.6,-51.4,7.01,0.14,-4.89,4.95,0.029,1032,25.2,0,177.319328,3.699999797390774e-05,1035.8314661274474,7.5244751111111094,68.35443,0.0002815999978338368
1.8296450000052573,0.0,1200,26.6,-51.1,6.89,0.14,-4.9,4.93,0.029,1048,25.2,0,265.4956,1.679999695625156e-05,1053.4649630600024,7.769409199999998,-174.83684,0.0002015999998548068
1.8563696999990498,0.0,1200,26.6,-51.1,7.03,0.14,-4.94,4.95,0.03,1065,25.2,0,353.649888,1.7400001524947584e-05,1068.4898015587432,8.01428222222222,101.68292,0.00030250000418163836
1.8830846000055317,0.0,1200,26.6,-51.3,7.04,0.14,-4.95,4.96,0.029,1081,25.2,0,84.02344,1.809999957913533e-05,1085.8808122817638,8.265319866666665,-155.3624,0.0002193000036641024
1.9094866000014008,0.0,1200,26.6,-51.3,7.07,0.14,-4.97,4.97,0.029,1099,25.2,0,173.935552,1.569999585626647e-05,1103.1270754845261,8.515075733333331,54.47955,0.00036579999868990853
1.9354707000020426,0.0,1200,26.6,-51.1,6.9,0.14,-4.95,4.95,0.029,1114,25.2,0,263.8916,1.2399999832268804e-05,1120.7084240267645,8.764953644444443,-117.68414,0.000338700003339909
1.9618784000049345,0.0,1200,26.6,-51.1,7.07,0.14,-4.99,4.96,0.029,1131,25.2,0,356.374496,1.2699994840659201e-05,1136.4960506633086,9.021850577777776,72.08728,0.0004149000014876947
1.9891350000034436,0.0,1200,26.6,-51.3,7.01,0.14,-5.02,4.94,0.029,1147,25.2,0,92.834472,1.930000144056976e-05,1152.878197293419,9.289794955555553,161.41927,0.0001914000022225082
2.0153805000009015,0.0,1200,26.6,-51.3,6.86,0.13,-4.84,4.79,0.027,1166,25.2,0,188.503424,1.1699994502123445e-05,1170.2067487883235,9.555542044444442,86.66299,0.0004528999998001382
2.0418107000004966,0.0,1200,26.6,-51.1,5.83,0.11,-4.2,4.34,0.027,1180,25.2,0,284.611808,1.4700002793688327e-05,1185.635668343211,9.822509777777775,169.89922,0.0003276999996160157
2.0682232000035583,0.0,1200,26.6,-51.2,5.39,0.1,-3.8,3.74,0.026,1195,25.2,0,22.060546,1.2699994840659201e-05,1200.6644660688248,10.093200716666663,-21.50436,0.0004808999947272241
